,Unnamed: 0,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Confirmed,Deaths,Recovered,Vegetables
10,10,0.24005316526955223,0.6575321626478404,0.0923994359831554,0.00017863522686673334,0.0247418620279259,0.42402782489428015,0.2896943306221631,0.5226608569716015,0.8075180395742793,0.22470950529375813,0.8558805536293587,0.3342810495757311,0.08400772740176389,0.015271678658808366,0.1483981805345053,0.018950779605603565,0.16268532533684307,0.0,0.5085946076142417,0.08780823066991987,0.2079163115650529,0.24022369069811447,0.2018134578811466,0.2415157729353231,0.19194017595753773,0.44413581884269704
11,11,6.722791129383333e-05,0.11593301818752966,0.012997894306232967,0.0,0.9496751748375875,0.16788063330201974,0.2638399818729795,0.07687946929249333,0.0084717085436429,0.08356792368269467,0.010851506496332151,0.05454176822466217,0.030013299108132833,0.18132176672690745,0.43131854523734564,0.14164124427367245,0.029129266508653096,0.05335214737103353,0.07162978738059143,0.0872490214708147,0.8947226373131116,0.19383695121221844,0.0303980581424685,0.0260104927004124,0.0314543840275385,0.18172003064299275
12,12,0.18265159670781214,0.5641592131069163,0.14168179391344146,0.0,0.18674148161541096,0.4162255344986321,0.35278879681551306,0.2073518236975831,0.6182288801761412,0.24199754955812267,0.8304323152069153,0.1448908891378867,0.11164156338814567,0.16530873498680862,0.21514223591906825,0.10596825203738997,0.13719066659388793,0.0,0.41949509478610564,0.14577952507898342,0.36761691647236494,0.329029641328966,0.0560786788313688,0.0338233009531293,0.0519957445532239,0.2601929873372143
13,13,0.3776024508176105,0.5578745813189934,0.2416799536731983,0.0,0.16837345188801586,0.5525912156831142,0.11146416754805531,0.12760353858984255,0.5532091860202915,0.28687754605406696,0.1394359294171435,0.43471069335551604,0.02954248994624133,0.00019249628525866666,0.011339268747482768,0.30910196800221096,0.13171454134056698,0.0,0.27749611331624047,0.22229853143072656,0.3807577182332512,0.3702346084597761,0.2633180255369945,0.10199123267141248,0.2890200412605818,0.49050192262789805
14,14,0.39913222804305315,0.6698933463505984,0.5734563515966028,0.00019848358540746667,0.15949525953184415,0.46230449393514395,0.1411276758558886,0.1502383607162984,0.36572503461274725,0.5780540897519707,0.0,0.24123162323603886,0.018183846262155665,0.0364691318537969,0.06713210512861263,0.1339653498934744,0.13602339741333555,0.0,0.35076481544484883,0.28384920482034337,0.31303335726445475,0.6239050735654935,0.6039660269578742,1.0,0.0,0.4026097016938987
15,15,0.22058918431311056,0.36800508912946633,0.1622533758055657,0.0,0.3407911742290746,0.22282230887532617,0.10744545147193067,0.40942384322672537,0.4095179409171666,0.2061292843125575,0.46044338632740955,0.05499856422542357,0.10296314239190894,0.31765384657789997,0.029279700633886397,0.0167605563559085,0.10609448081255111,0.0,0.3901515553130846,0.0676930102704381,0.5866074337024809,0.40336278250228724,0.2759907565384591,0.3938517550126934,0.3030594156114813,0.23098242517364503
16,16,0.423516554008801,0.11194900966033333,0.0095283396100249,0.0,0.3148911813151213,0.03493384456158357,0.15206927532009615,0.085603706446219,0.1498503241669611,0.04459760331450407,0.0427983099604701,0.09557772717974067,0.2109861771698506,0.2213606471652733,0.7939775052280202,0.7145185080037796,0.004184265062598167,0.0,0.038952541159783936,0.3977846628297441,0.8722335411065949,0.2330670526170676,0.0032698268036962,0.0024294500666407,0.0032282969599574996,0.2523058660862638
17,17,0.15814785545663487,0.4625975031341463,0.06809528704228958,0.0,0.38150578318902334,0.38581703200193945,0.024564022786395533,0.2715447987250101,0.7276219894717822,0.1795208271433726,0.07655278886271635,0.09608635211982804,0.0365430722286492,0.11310918441883007,0.06277912859799446,0.24579151881368158,0.1607180138110404,0.0,0.2669651498511969,0.5722898830040244,0.5050767286387452,0.1455996666830142,0.1875629459251705,0.4984978611028166,0.1591410127477631,0.1415388422464095
18,18,0.48507246109625096,0.40926051205490155,0.05919350584485513,0.0,0.34580673626658226,0.180808487514968,0.03616521732818231,0.18716776694163825,0.24301166315407693,0.5072816201423538,0.15045464475431625,0.12692598535870814,0.039545606994982364,0.09143947394175511,0.7226493096211907,0.12850976370599168,0.3506933498153824,0.0,0.13739797029703907,0.1335026338366694,0.5986157488493546,0.1695881147683539,0.3614348333756731,0.7848605982033345,0.3274733512489549,0.7014017635309228
19,19,0.2832996709925608,0.4417014001603385,0.18032939593649946,0.0,0.42482766477849526,0.07084982276476999,0.0407070945162309,0.09573830344861727,0.2523927827540809,0.5181340549686141,0.4094053398231987,0.2888326035111421,0.08438660879036547,0.07563659870781743,0.24805067928938576,0.14068902277598724,0.11426721843276516,9.779313492189999e-05,0.355103928850893,0.023390144467506434,0.5899060212789314,0.35019583241964175,0.0974319211392824,0.0379390937008666,0.0934525806500439,0.19158918353400967
