,Unnamed: 0,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Confirmed,Deaths,Recovered,Vegetables,Country
11,11,6.722791129385536e-05,0.10817923220134675,0.03724162891763888,0.0,0.7817779183802595,0.22897398432139626,0.24246223124795493,0.07236653953282453,0.01648168004419405,0.017977595721665032,0.10857832550853908,0.08725448635017508,0.012359214525445491,0.1894186734879376,0.4291811570915789,0.11761115410755633,0.018809404553902336,0.05793582410685852,0.048078677215308084,0.08600974622163493,0.906276977538137,0.45537961784074604,0.0303980581424686,0.026010492700412457,0.031454384027538515,0.15092856174596714,Bangladesh
12,12,0.14985511061703624,0.5291129677501942,0.1918500276349878,0.0,0.1551333224428155,0.40294500081293,0.30118847268370513,0.1763581426928157,0.5681939775695589,0.7900463041231808,0.23965460401950098,0.1339177782059112,0.09844380902894741,0.14541784997337923,0.19842521398978744,0.08097620218438016,0.15198255802424707,0.0,0.41949509478610564,0.15470387429580157,0.42036906549896624,0.3605085620741119,0.05607867883136882,0.033823300953129326,0.05199574455322394,0.2502643350955673,Barbados
13,13,0.2946107475477228,0.5135720182993532,0.37180306231661286,0.0,0.17153697331821352,0.49780461103928103,0.0870129001204681,0.10659288772799465,0.4785174651532514,0.1308875647258045,0.20429331382417057,0.35478625846552664,0.01278504852107696,9.568096140230017e-05,0.00950915508331003,0.21357223279858498,0.1768428646037704,0.0,0.27749611331624047,0.23151199522254126,0.4473286891717274,0.44812710576304565,0.26331802553699457,0.10199123267141257,0.2890200412605818,0.4299254439474041,Belarus
14,14,0.26575009041494196,0.6411764871770946,0.6960610454657917,0.00019848358540748679,0.09590785929317557,0.39653761133064913,0.11072685339499226,0.11674598950955273,0.2819832253477274,0.0,0.45852928229271556,0.1999437335412915,0.014778944879723033,0.028067751738018426,0.05829356570139918,0.08861456624254245,0.09111490531751877,0.0,0.34728889858310524,0.2691444333216084,0.3560408204648544,0.4436681936390155,0.6039660269578742,1.0,0.0,0.3231177985631015,Belgium
15,15,0.17154086806128044,0.41010058818859524,0.3506194003099157,0.0,0.2524027101931163,0.20233083939036986,0.08176428721445804,0.31375893489322865,0.3753802565371318,0.4519596996330213,0.1611102436746509,0.04512239136221339,0.04566472533645893,0.25506302770476763,0.026102227297383308,0.011125830107035552,0.1496763635907408,0.0,0.3901515553130846,0.0711569772963357,0.5234820253081782,0.4466567834202135,0.2759907565384592,0.3938517550126934,0.30305941561148136,0.21228683746780533,Belize
16,16,0.24176936025575083,0.0526597956623982,0.017057507531425865,0.0,0.26063158983476525,0.03309716934089165,0.11854876068574095,0.07009724891930309,0.10526568637916171,0.04738772078194902,0.04780839764764686,0.09612670178796758,0.16150583767870041,0.22422089166441941,0.8244474724471734,0.6440724585654226,0.014016411735385497,0.0,0.03895254115978394,0.42506897330970556,0.9612740165726668,0.44413144322169035,0.003269826803696221,0.0024294500666407672,0.0032282969599575517,0.1810708960281957,Benin
17,17,0.11358953432437528,0.534144755575064,0.15325154432250837,0.0,0.29380896593797073,0.40310843517550116,0.022071554379163482,0.22694491939711559,0.7321720084465647,0.0828995498067455,0.17749879887554668,0.12669021957846335,0.030944782186368248,0.10113744128225637,0.0628599762906732,0.21482451057813468,0.17635995887767586,0.0,0.2669651498511969,0.5459903748344251,0.397695217330855,0.18105096504120843,0.1875629459251705,0.4984978611028166,0.15914101274776316,0.12825809949844108,Bolivia
18,18,0.35496021121826177,0.4668296560959646,0.09175654335902082,0.0,0.26147229108295716,0.1906241883887413,0.03335144560541428,0.1575565327329297,0.26573743277922207,0.16717439665635267,0.5300096424774905,0.12171971164939051,0.021568217614108005,0.08531266317167163,0.7570099113180139,0.09418552943971664,0.4743838299067708,0.0,0.13363830512005107,0.1613533297725712,0.5124324342144935,0.21159134589318787,0.3614348333756731,0.7848605982033345,0.3274733512489549,0.5846495865527992,Bosnia and Herzegovina
19,19,0.1934509643063725,0.3981206262477513,0.2199513860819898,0.0,0.37687735539548156,0.0656675033753449,0.04041610742278099,0.07731014387940834,0.16716699898765183,0.4137685821725659,0.4885957957315723,0.26743198227038495,0.03330256138171678,0.06585493137799996,0.2431293937090709,0.11896675486738069,0.1491764045917606,9.779313492192849e-05,0.355103928850893,0.026946025870350887,0.6552920856525296,0.48988313130011707,0.09743192113928244,0.03793909370086662,0.09345258065004397,0.17344720075911615,Botswana
20,20,0.18713001089706974,0.6010429255075377,0.2307685776425946,0.0,0.13184420020598223,0.26943321207080184,0.0453634624884624,0.16497892030717645,0.6586317508787207,5.459409291914614e-05,0.36604942918486977,0.12090731140790552,0.06088590123809573,0.20939470661017956,0.008771883468404813,0.07577102242247315,0.11221801475595732,0.2772886538066306,0.34720807579266894,0.05248561852231279,0.4087800230929779,0.5814477589162671,0.4285070796910331,0.5856887091925249,0.4402129650862994,0.1328453300799783,Brazil
21,21,0.39134321402086397,0.6089434742228242,0.34486173255427216,0.002044380929697114,0.19025547056229006,0.3656245423835245,0.05130808427630293,0.1295844078894375,0.39644768405884295,0.0645823091512313,0.47739415561077214,0.3015585050447848,0.047496709076572295,0.03588884369170877,0.7142965557555927,0.028724100551113716,0.12617623111305573,0.0,0.22035611094718133,0.09109651584137539,0.3950044987651167,0.3835016158852805,0.3100479359815929,0.7248973640593709,0.3085172498667724,0.2899118883014776,Bulgaria
22,22,0.4961285402205246,0.0808101942628756,0.023721221382835164,0.0,0.6722817885329556,0.10922457999023986,0.05902007135613883,0.0002421625810379781,0.09889609949525507,0.03368542459834093,0.10371424860237599,0.1410349953478762,0.30633592804589976,0.3104994109338612,0.04314562050614487,0.010548449333551603,0.009647403141054786,0.0,0.06796633863688713,0.06640424649574461,0.936543790600272,0.40187891707641016,0.005130576748233696,0.003457176556409755,0.0053132816853257705,0.03506032262437305,Burkina Faso
23,23,0.16729396682469222,0.39473112414990963,0.14907783471951155,0.0005756023976817116,0.39663358336797394,0.24324002494511654,0.08920690452002873,0.12637704974943276,0.3355754501179377,0.34785437788184304,0.3001945962498577,0.09844855305027155,0.04445636588226733,0.2622988234304929,0.3936875004753866,0.07913517811697067,0.11315745150849814,0.0,0.17361178194412696,0.03708017766035399,0.5670788610196965,0.4059218341169734,0.24846726357007168,0.1309436246431852,0.2722550991006297,0.31323302155347704,Cabo Verde
24,24,0.19076069041001545,0.241188000978009,0.032522717491407664,0.0,0.7135849702472515,0.09298050074531816,0.48597585314036035,0.05594058818141321,0.2271480572097971,0.19574468476656715,0.015098768083001701,0.12950573148999642,0.17627089705199608,0.12187578400718597,0.1405263989920749,0.10779191578984164,0.04447809496998453,0.3047035561160387,0.22528344231130978,0.040377891451253124,0.7238230366609856,0.10515554020685931,0.00026394692940295573,0.0,0.0003240753273222925,0.11658939948488545,Cambodia
25,25,0.21046309449720202,0.03826317260389551,0.02672140257514369,0.0,0.3369737741914027,0.0020586034728178482,0.12543346419169807,0.2719020489982557,0.07708545536860412,0.04291809336270119,0.03651147977266684,0.08032660989246414,0.21241026964961374,0.40310291204457815,0.4152020751055414,0.3466309723028747,0.023211708674858444,0.0,0.04470617529644577,0.14031643517370726,0.9658020498921012,0.39334748392423274,0.011310643078866053,0.009610693817959651,0.012269461562891352,0.433889114816321,Cameroon
26,26,0.20683375357655023,0.5578685645948352,0.586347675073782,0.0011909015124449206,0.09626319233429999,0.4470921440827238,0.10104896012442205,0.15620964377066246,0.41183726938018034,0.17321296391612864,0.2943461720147745,0.011566450371452541,0.07984468779512362,0.15438139180987986,0.08014890355359029,0.06289083558212594,0.16267562768740873,0.0,0.3733053554532231,0.2821982302330109,0.4472067201345511,0.6100286719159972,0.2026971495651361,0.2923116124530079,0.21126939166971806,0.2515439880710316,Canada
27,27,0.07272451176703805,0.30291787774947754,0.12527859719584253,0.0,0.040105035414492084,0.019915258464733587,0.08266452232423739,0.15293489931624846,0.4527913003250236,0.02104897041669758,0.0821473659825452,0.4189370164566559,0.17295831241922363,0.24513086962058747,0.002825760096628164,0.8280687170961484,0.069446154882274,0.0,0.05055939459840875,0.0,0.647860357556597,0.39037423750229844,0.0098944570371873,0.007034266212715745,0.01118807028055402,0.057714518096787314,Central African Republic
