,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter
23,0.0007605942383456,0.0001683416859256,0.0027826313665226,0.0020774751332521,Honduras,0.0232696908694891,0.0903870086757346,0.2223306874086017,0.3268215106350781
24,0.0052816760262774,0.0002454982919748,0.0024818063539256,0.0072711629663826,Jamaica,0.1832987413959941,0.1401822720650268,0.0771274911318877,0.2791702496091565
25,0.1212761802875123,0.0328595956689892,0.4117922569313007,0.3042714147815503,Mexico,0.0856505991445498,0.172947900122785,0.7302668041758591,0.2897938853373241
26,0.0045314286104534,0.0022532067045349,0.0208016318085683,0.011162756536702,Nicaragua,0.0567614648340175,0.0803196544202334,0.2831069968761824,0.341730947934713
27,0.0049560137845257,0.0008899897603831,0.0135513311924619,0.0088240231669954,Panama,0.1156285100697146,0.2608849859310804,0.2602115924117862,0.296228895120348
28,0.0065210106620922,0.0023906857480408,0.0324807451101311,0.0162137491081546,Paraguay,0.0278097993343475,0.2027494878977055,0.5100713446536506,0.2261538669297405
29,0.0287995239639376,0.0025531822365385,0.0605711162864154,0.0469320518739245,Peru,0.2106802401309953,0.1841265815877722,0.4676660483913541,0.2259904848444039
30,0.0001530324743818,6.312813222210674e-05,0.0003258937636468,0.000346245855542,Saint Kitts and Nevis,0.2289902450518816,0.1965355751132818,0.1942253162636544,0.2148188049775709
31,0.0003949151465764,5.377581633735019e-05,0.0009526125398906,0.0009128299827926,Saint Lucia,0.2698422024126781,0.3344315187571807,0.1625956579981163,0.2187834199132692
32,0.0003551267032371,4.55925399381882e-05,0.000406113767006,0.0007711839509799,Saint Vincent and the Grenadines,0.1209129326500973,0.172688152835181,0.1985473025462182,0.1894072450187693
33,0.0006763121740965,0.0001052135537035,0.0019678969574056,0.0012590758383346,Suriname,0.1280808362201358,0.1840218032906748,0.2874665358518318,0.0782142741165975
34,0.8505583070058471,1.0,1.0,0.8653229529525327,United States of America,0.0924468947287251,0.2436360218695238,0.4539310926964541,0.4945472470667111
35,0.0118007909129408,0.0070260442123719,0.0139896165233151,0.0203770932135812,Uruguay,0.0556303079639332,0.1644729252357377,0.427819004063369,0.5071568177013944
36,0.0363982030150275,0.0002209484627773,0.1739771322852924,0.0354115079531623,Venezuela (Bolivarian Republic of),0.0902226732239076,0.1109205398153498,0.1878439618578705,0.3365481102397815
37,0.003253356202019,0.0020184635758275,0.0033003010757001,0.0059932009904729,Cyprus,0.1612349811878078,0.183453108195185,0.3418554872187008,0.4060318826576938
38,0.0625345507927002,0.0144931670226586,0.3822838300706354,0.07001510891006,Iran (Islamic Republic of),0.0798327418879999,1.51804960986125e-05,0.3287225538388786,0.140007840941416
39,0.0147438794833176,0.000241991173518,0.0481069332644778,0.0043752885382129,Iraq,0.0296858347324788,0.0105967653632807,0.6027451698496381,0.085787237194952
40,0.0164886095759454,0.0123012179871688,0.0094358778951273,0.0243610190120451,Israel,0.1250998635929386,0.0684283438248231,0.3176096629810283,0.394002123209927
41,1.0,0.1420000699085612,0.2580242983047675,1.0,Japan,0.4520814477871808,0.2458674467297323,0.9843050721034312,0.202510679547712
42,0.0044703755053754,2.1042710740702247e-05,0.0169214069585839,0.0028329206362529,Jordan,0.0501284628394038,0.0054088237362999,0.1615511441956649,0.2001042463353601
43,0.0014261941392353,0.0005348355646595,0.0135442283796645,0.0018319553447769,Kuwait,0.067571455007647,9.542026119126669e-05,0.7281493277425892,0.2479928032453031
44,0.0046732006356009,0.0003261620164808,0.0030709220035948,0.0029903051160448,Lebanon,0.0605762253859465,0.0379828643107686,0.0858461545136557,0.2288880368167904
45,0.0151276027026631,0.0001262562644442,0.1117063546777036,0.0383073823813321,Malaysia,0.4076432951623838,0.0327386031601586,0.8865774181869304,0.0649083606247904
46,0.0002353959225342,0.0001326859816149,0.0003208800134368,0.0007554455030007,Maldives,1.0,0.0378320216022816,0.7852069946223194,0.3002574973425321
47,0.0057037715675575,0.0001262562644442,0.0121332755080809,0.0032735971796701,Mongolia,0.0025249297081489,0.1676808576736931,0.1993872298640613,0.6424273573788808
48,0.0008224924481328,0.0002209484627773,0.0124717036472525,0.0023292903009191,Oman,0.1706081413348397,0.0111971253106728,0.3721872461688136,0.4561811067826244
49,0.0848453151175048,0.0055202044509775,0.2172457965971677,0.109665505518949,Philippines,0.228344148286199,0.1128504095268172,0.2342552022947218,0.0181597298779373
50,0.0187674915261693,0.0014449328041948,0.0613557681942727,0.0118353128803458,Sri Lanka,0.2927607416866998,0.0283735005320938,0.2651176453217276,0.1409066593440751
51,0.20314428287692,0.0168937896063271,0.7811798858369077,0.3415746841818105,Thailand,0.2562382462563566,0.2168737796760606,0.717653259846399,0.06900378189668
52,0.1100784286863073,0.004209711187626,0.1711840556058323,0.0782515633524992,Turkey,0.0230933229171127,0.0341209681033912,0.2481180747692002,0.3858422031182802
53,0.0147116969823617,0.0002466673314604,0.0199421914600792,0.0087610693750786,Armenia,0.0313196976403475,0.023402258302468,0.438624631458695,0.5406081068458234
54,0.0296087688247359,0.0157795780726069,0.0133595552469313,0.0243599697821798,Austria,0.074344103208951,0.334281534355721,0.4512429994712584,0.4249900025628239
55,0.0258972059856162,0.0089080808802306,0.0190271820467632,0.0134091576782641,Belarus,0.087012900120468,0.2946107475477228,0.497804611039281,0.2042933138241705
56,0.0399476427939737,0.0356399222775788,0.0192214648673988,0.0400910731523061,Belgium,0.1107268533949922,0.2657500904149418,0.3965376113306491,0.4585292822927154
57,0.0107997529644731,0.0015115680548737,0.0061669127582394,0.0037457506190456,Bosnia and Herzegovina,0.0333514456054142,0.3549602112182617,0.1906241883887412,0.5300096424774904
58,0.0253463347591772,0.0009528840847081,0.0196986067623791,0.006241868468544,Bulgaria,0.0513080842763028,0.3913432140208639,0.3656245423835245,0.4773941556107721
59,0.0197293577293288,0.0085989868402394,0.0124115386447331,0.0099194191463465,Croatia,0.1006408309437627,0.2852158131856779,0.2792488713259719,0.5319952667659763
60,0.0385526946883136,0.0105433333126803,0.02317731378305,0.0173164896965627,Czechia,0.0521787977645488,0.5302587305411026,0.2866057902498047,0.4196358271552583
