,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa and ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",External causes of morbidity and mortality,infectious and parasitic diseases,Neoplasms,Country
18,0.6561510858180838,0.09035190543499316,0.1928333739538422,1.0,0.42399115899068607,0.3847719104629183,0.6254200673073042,1.0,0.36043878792965955,0.5279099748332656,1.0,1.0,1.0,0.6052016185208007,0.9930375722084482,0.4797604713012349,0.30005878959489724,Brazil
19,0.08252189186383294,0.1379076133813403,0.07442270348538345,0.19058768438304852,0.08459175769802768,0.06266273134411025,0.10670574396741757,0.12155558293293905,0.11859550090233766,0.07404708988282097,0.0278902875581923,0.05280526038766373,0.10155111037041374,0.03018687030419715,0.05776508741891303,0.09699546786849476,0.11002034486804568,Canada
20,0.00010169944001745841,7.014236913567416e-06,2.1568411766862727e-05,0.0,6.15176377098455e-05,4.382829500584743e-05,9.653483387079104e-06,0.00018953573222391747,0.0,7.117289128957688e-05,0.0,9.153806839419344e-05,0.0,4.1878513781800105e-05,0.0001002750041990158,6.319033941276556e-05,6.852200345455964e-05,Cayman Islands
21,0.04641731941463498,0.013971658508134935,0.02108375158078485,0.06477795988449234,0.034186155427488076,0.027500536359502368,0.075062590772911,0.1014805899615558,0.04359130398287656,0.04734112312720399,0.048595821918959343,0.0391744791865317,0.09402302267584932,0.021422534939942024,0.05557951013989198,0.038374584388110485,0.03787999133973239,Chile
22,0.08240366626481264,0.003916866796484605,0.01970400230638217,0.12612190743775856,0.08255528264419372,0.06567962195259609,0.10135465723456984,0.21073846280203298,0.13961682125320016,0.09813484321086537,0.282759953614225,0.17927120441213493,0.23045046911667336,0.033753942513084945,0.18215246981513467,0.08063756524853904,0.0600057462552097,Colombia
23,0.009670345502660079,0.0023774756018536754,0.0034607415363754864,0.01873097635214236,0.00714428853364307,0.0052106686491951906,0.01603990621319107,0.023540337942210554,0.01571851261174298,0.012752046932353487,0.021192921127376012,0.014858916952087452,0.029519292413807595,0.0041020004249273205,0.01975877176489857,0.007825118508967973,0.0070692552117321925,Costa Rica
24,0.02289536893237482,0.035456266174391925,0.009472127500947213,0.2402247717162258,0.04500443409482787,0.028521262975055212,0.039067164593339775,0.04898866892214186,0.04802534939354513,0.017070817975805015,0.04798238685064117,0.014314265445142,0.04342238217281571,0.0063961054098943294,0.028519464631752582,0.03615305879758774,0.03462446527427062,Cuba
25,0.00043222262007419827,4.909965839497191e-05,0.00012311968383584143,0.00468274408803559,0.00033110963826181553,0.0001452349383527101,0.00034430757413915464,0.002084893054463092,0.00044067654341713175,0.00018504951735289987,0.0,0.0021130037454326323,0.0014413570376509484,0.00024149942947504724,0.000513909396519956,0.00024120655272987085,0.0002553586662073256,Dominica
26,0.01526339095595355,0.0003857830302462079,0.0025882094120235274,0.01404823226410677,0.014351703009249839,0.00688362045091839,0.011449031297075817,0.012509358326778552,0.005351072312922314,0.007117289128957688,0.10840153946992488,0.14284515572913886,0.047294527797921745,0.011650602534096789,0.058635808705374486,0.01422179833206391,0.006993355672572357,Dominican Republic
27,0.048231806923613126,0.0015008128916063081,0.008046185878010502,0.02497463513618981,0.019144007402059494,0.016950464186761476,0.04133653764625229,0.03733853924811174,0.030225164729088844,0.02979226056490399,0.15271171913077092,0.0728528601832287,0.10082292478368382,0.04588754390613183,0.08273523471453793,0.024443714378702956,0.015922320898729116,Ecuador
28,0.018260699452023646,0.003858999341947674,0.004151919265121075,0.03277920861624913,0.008377857896347686,0.007907140046054945,0.01842206413034262,0.024134216569845494,0.007921685482855583,0.04477012105085351,0.04420093779936472,0.02062657807815826,0.027040458591764148,0.06181129039147755,0.024533951027359197,0.014244847760630662,0.005679560459670266,El Salvador
29,0.0005967779639913359,0.000156066771326875,0.00022152556252215261,0.0,0.00025340843899758253,0.0001454497829360721,0.000556684208654895,0.0011372143933435048,0.0009443068787509967,0.0003760301089799311,0.0030251592410211595,0.00276521248274126,0.002972798890155081,0.0012193627262800798,0.0007896656580672494,0.00031914130467228165,0.0003391839171000702,French Guiana
30,0.001138327482084302,0.00013116623028371066,0.00019546373163719348,0.0,0.00044624411903445774,0.0002285086988638202,0.0008715486584634583,0.003929707514775889,0.0007029840097368532,0.0005575209817683522,0.0015125796205105798,0.0018772932193175838,0.0019218093835345978,0.00015271698025763104,0.0002381531349726625,0.0003447785280911751,0.00035921518277661987,Grenada
31,0.002060826152575998,0.0007201283231262547,0.001076173878784088,0.021072348396160154,0.0009515130041852903,0.00043978686214200824,0.0018816248035315021,0.005496536234493607,0.0031057204012254996,0.0010225172048602545,0.0010083864136737198,0.0019909529875737075,0.0029127423469196244,0.0038402597137910696,0.0013411781811618363,0.0011723914305715104,0.0011556235882611483,Guadeloupe
32,0.06633642598505443,0.004068257409869102,0.00876764925161206,0.09053305236868808,0.015217071216838175,0.02447376290018188,0.059114875326066525,0.03371208890489412,0.024097662315860153,0.047973850130768325,0.180954941933749,0.14477355770330988,0.1350821798723498,0.059306676077234034,0.03310997076148002,0.02977921175046628,0.012221378970144895,Guatemala
33,0.0048985230275075805,3.8578303024620786e-05,0.00047180900740012214,0.0,0.0023816975619233324,0.0008907456426188404,0.003315971543461672,0.0007581429288956699,0.0005036303353338649,0.0016796802344340143,0.0100838641367372,0.00711708481764854,0.005720385743177202,0.00038947017817074096,0.0037227095308884615,0.0021454022949768375,0.0008544693830783587,Guyana
34,0.004915472934177156,0.00016834168592561797,0.000695581279481323,0.0,0.0013787188216147729,0.001608756240214635,0.004652978992572128,0.0034116431800305146,0.0020774751332521928,0.0021351867386873065,0.01865514865296382,0.055014379104910256,0.03558350186700779,0.00047741505711252117,0.0027826313665226883,0.0025110035444364095,0.0007605942383456121,Honduras
35,0.020132251646789372,0.00024549829197485957,0.00223502666934115,0.025755092484195746,0.007310949061948502,0.0027057526828609926,0.004966717202652199,0.04330891481316514,0.007271162966382674,0.006042578470485077,0.018150955446126958,0.026294310146232066,0.016260309080999763,0.00047741505711252117,0.002481806353925641,0.006529728587261406,0.0052816760262774575,Jamaica
36,0.002074951074800645,0.0006599227896181343,0.0014338500405845615,0.02341372044017795,0.001008607805197042,0.0004780291979804438,0.0017416492944188548,0.005291205857917696,0.002523397825995719,0.0012040080776486754,0.0035293524478580193,0.002101561486883358,0.003408208828612138,0.0026299706654970465,0.0008293578472293597,0.0011899643630558223,0.0012999766088720875,Martinique
37,0.9540856690657847,0.03285959566898927,0.06005886019571177,0.40739873565909634,0.19560491861256735,0.14224541894414458,0.598375029141453,0.489953026727697,0.3042714147815503,0.3133365187156235,0.5610830070082857,0.5939089043656031,0.8458048252429663,0.08299400104249581,0.4117922569313007,0.23833521981572012,0.12127618028751237,Mexico
38,0.00010452442446238781,7.014236913567416e-06,1.6176308825147044e-05,0.0,4.328348823179652e-05,3.351575500447156e-05,5.792090032247462e-05,0.0,6.295379191673311e-05,5.69383130316615e-05,0.0,0.00013730710259129015,0.0,8.37570275636002e-06,5.01375020995079e-05,1.5827675491006994e-05,2.4896327921823332e-05,Montserrat
39,0.019465555317786036,0.0022532067045349727,0.002273580205374417,0.02341372044017795,0.0077633851523602904,0.004872889995233459,0.019643068887418343,0.022946459314575608,0.011162756536702059,0.026638352508891867,0.042646342078284404,0.05413027392766968,0.05801912500619333,0.0039002855835449826,0.02080163180856833,0.008542196462496474,0.004531428610453484,Nicaragua
40,0.013469384584201135,0.0008899897603831455,0.0032810047716516307,0.00936548817607118,0.006488703512166581,0.004608974909031581,0.009007021782924373,0.026174884620123,0.008824023166995423,0.011198817201443955,0.041007714156064606,0.023928051078242165,0.042847340771336215,0.0058627127393601364,0.01355133119246199,0.0071573470745641184,0.004956013784525753,Panama
41,0.025168633915209505,0.0023906857480408945,0.002783493406895997,0.043081245609927425,0.009149823834393554,0.00574967073993377,0.013353502677956739,0.024674393406683655,0.016213749108154613,0.013657603352527872,0.07657854489840507,0.03997620010221751,0.05727742669723544,0.0227937770762041,0.032480745110131194,0.010822061781616113,0.006521010662092259,Paraguay
42,0.04369798938794594,0.0025531822365385394,0.012003989437229816,0.11238585811285416,0.02293628831362705,0.05868582919932967,0.06996699956704129,0.12566219046445729,0.04693205187392453,0.07552274116222486,0.16553503302465505,0.11383826748949222,0.13036173557404296,0.028057766663530433,0.06057111628641548,0.04121025989644969,0.0287995239639376,Peru
43,0.03307816661334509,0.004179316161000585,0.014383794070556028,0.03512058066026692,0.008845512565761549,0.006559978570541878,0.012731013890879921,0.04749449556644332,0.013403911528937756,0.019001501273520266,0.011092250550410918,0.006885188377716583,0.014158330067758795,0.00500713470279796,0.010214262615222248,0.011118292074655596,0.008069630780833125,Puerto Rico
44,0.0005572281817623243,6.312813222210674e-05,0.00011593021324688716,0.0,0.00019309702947812614,8.593783334479886e-05,0.00042797109682717353,0.0011372143933435048,0.0003462458555420321,0.0002906226394324389,0.0,0.0011632962858428748,0.0011711025930913957,5.2348142227250127e-05,0.00032589376364680134,0.00014386333939639626,0.00015303247438184988,Saint Kitts and Nevis
45,0.0011638935913109128,5.377581633735019e-05,0.00016895255884042472,0.00468274408803559,0.0005086262202807488,0.0002406259333654369,0.0008897293855091241,0.0033484646026225415,0.00091282998279263,0.0005456588332200895,0.0015125796205105798,0.0023189643993195667,0.0018917811119168698,0.00022893587534050726,0.00095261253989065,0.0004430545511969334,0.00039491514657644545,Saint Lucia
46,0.0010299893286212594,4.55925399381882e-05,0.0001743446617821404,0.00936548817607118,0.00045410470607516024,0.00021699302919561718,0.0007582811200550637,0.002084893054463092,0.0007711839509799806,0.0004208690304923646,0.0025209660341843,0.001446301480628256,0.0020494295379099425,0.00028700741445127005,0.0004061137670060139,0.00036379581119063597,0.00035512670323716445,Saint Vincent and the Grenadines
47,0.0018433023503164336,0.00010521355370351123,0.0002561248897314949,0.00468274408803559,0.0011049050223964408,0.0005426974175724049,0.0016314386924163684,0.006918054226172987,0.0012590758383346622,0.001708149390949845,0.008319187912808189,0.005629591206242897,0.004414155927806029,0.0027430426527079066,0.001967896957405685,0.0012202957259739497,0.0006763121740965037,Suriname
48,0.00010452442446238782,2.8056947654269662e-05,2.1568411766862727e-05,0.0,5.910518132906725e-05,2.8789174170507628e-05,5.792090032247462e-05,0.00018953573222391747,0.0,4.270373477374613e-05,0.0,0.00013730710259129015,9.008481485318428e-05,5.025421653816012e-05,0.000488840645470202,3.4423689661049425e-05,3.6545068509098476e-05,Turks and Caicos Islands
49,1.0,1.0,1.0,0.7554827128697418,0.9999999999999999,0.688659132181712,1.0,0.9001304637623472,0.8653229529525327,0.9730375735927699,0.6237458193979935,0.5369989244276964,0.8981380970183429,0.28211069942981015,1.0,1.0,0.8505583070058471,United States of America
50,0.0004336351122966629,0.00019406055460869848,0.00029027487502902757,0.0,0.00029090203191551125,8.636752251152287e-05,0.00038453042158531755,0.0007581429288956699,0.0005980610232089646,0.00041517519918919844,0.0,0.00045769034197096724,0.00018016962970636855,0.0002763981909598807,0.0006768562783433566,0.00025017356279892044,0.00022954871157277482,Virgin Islands (USA)
