,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature
13,43785.75,558.4166666666667,7266.116666666667,2217.766666666667,Colombia,0.449648711943794,0.0352199302447139,0.3840675283566341,0.2975187798770771,0.9134995629255795
14,5158.383333333334,338.95,788.1833333333334,249.6833333333333,Costa Rica,0.5339578454332552,0.0036061386363133,0.3632286995515695,0.2529023446391987,0.9328881616583782
15,25265.216666666664,5054.9,1137.65,762.8666666666667,Cuba,0.5573770491803278,0.0080059557978822,0.4692693220786072,0.2768893694514,0.9264686562915424
16,186.33333333333331,7.0,20.5,7.0,Dominica,0.5925058548009368,1.2835771297931802e-05,0.4020926756352765,0.3135385841110858,0.9443069021651264
17,5103.0,55.0,2339.0,85.0,Dominican Republic,0.5620608899297423,0.007449025943233,0.4399894486942759,0.2933928977919417,0.9319463118188696
18,11618.4,213.96666666666667,3300.333333333333,480.1166666666667,Ecuador,0.3840749414519906,0.0124485588637775,0.2792578914974061,0.2737593899385385,0.8445494812894592
19,4144.333333333333,550.1666666666667,978.6666666666666,125.83333333333334,El Salvador,0.4637002341920374,0.004583083451767,0.3917172250065945,0.2383052583655816,0.9249025065327436
20,262.1166666666667,18.7,9.5,11.166666666666668,Grenada,0.405152224824356,4.2072805920998685e-05,0.3748351358480612,0.3130548600045526,0.95747152246166
21,8917.85,580.0000000000001,1320.7666666666669,382.7833333333333,Guatemala,0.3723653395784543,0.0128443284787969,0.4213488085817286,0.2367971773275665,0.881739090346821
22,623.5,5.5,148.5,8.0,Guyana,0.3817330210772833,0.000522701131188,0.3399278994108854,0.327111313453221,0.9420954974161592
23,555.0,24.0,111.0,33.0,Honduras,0.3864168618266979,0.0069954953573728,0.4178317066737009,0.2512804461643524,0.9122699838436404
24,3854.0,35.0,99.0,115.5,Jamaica,0.5035128805620609,0.0019645861069889,0.4275916644684779,0.2710277714545868,0.9445415989589524
25,88494.33333333333,4684.7,16426.516666666666,4833.25,Mexico,0.5971896955503513,0.0910897641141784,0.552272927108063,0.2411222399271568,0.8148933814053406
26,3306.55,321.2333333333333,829.7833333333333,177.31666666666666,Nicaragua,0.4426229508196722,0.0046650897683927,0.3968170227732348,0.2524186205326656,0.9395202803981916
27,3616.3666666666654,126.88333333333333,540.5666666666666,140.16666666666666,Panama,0.4590163934426229,0.0030156931566085,0.3493361470148597,0.2682676986114272,0.943466120244388
28,4758.333333333333,340.83333333333337,1295.6666666666663,257.55,Paraguay,0.3770491803278688,0.0051350216175781,0.0950496790644508,0.3334566355565672,0.8821430396361942
29,21014.8,364.0,2416.2,745.5,Peru,0.3793911007025761,0.0233682347462902,0.2643981359359888,0.2923969952196676,0.8092769388316646
30,111.66666666666669,9.0,13.0,5.5,Saint Kitts and Nevis,0.4730679156908666,0.0,0.4178317066737009,0.3098679717732756,0.947247220994918
31,288.1666666666667,7.666666666666667,38.0,14.5,Saint Lucia,0.3957845433255269,9.127659589640392e-05,0.3887276883847709,0.3145913954017755,0.9550268716545433
32,259.1333333333333,6.5,16.2,12.25,Saint Vincent and the Grenadines,0.4894613583138173,4.0646609110117376e-05,0.3823089774026202,0.3139084907807876,0.9580049096119136
33,493.5,15.0,78.5,20.0,Suriname,0.5526932084309133,0.0003929172213978,0.3175063747472083,0.3341964488959708,0.9532107117808926
34,620646.1166666666,142567.18333333335,39890.3,13745.366666666669,United States of America,0.8056206088992973,0.2351969684760588,0.8923766816143498,0.9993740040974276,0.5736408258941489
35,8610.95,1001.6833333333332,558.05,323.68333333333334,Uruguay,0.6088992974238875,0.0024794431557171,0.0,0.3367004325062599,0.7546174095696004
36,26559.5,31.5,6940.0,562.5,Venezuela (Bolivarian Republic of),0.522248243559719,0.0203881965099537,0.4027081684691814,0.3176075574778056,0.9273579572610048
37,2373.9500000000003,287.76666666666665,131.65,95.2,Cyprus,0.4613583138173303,0.000822202461473,0.5725841906269235,0.5848508991577509,0.8016107679404826
38,45631.00000000001,2066.25,15249.416666666668,1112.1666666666667,Iran (Islamic Republic of),0.5292740046838408,0.0599687235039373,0.6143497757847534,0.667994536763032,0.7753087689395558
39,10758.5,34.5,1919.0,69.5,Iraq,0.5737704918032787,0.0282893268422362,0.5933350918842873,0.6259959025722739,0.8701246617166494
40,12031.616666666669,1753.7500000000002,376.4,386.9666666666667,Israel,0.5573770491803278,0.0065334075906472,0.5584278554471116,0.5899442294559526,0.8158706936724873
41,729692.6166666667,20244.55,10292.666666666666,15884.666666666668,Japan,0.0351288056206089,0.0897883595242492,0.6644684779741493,0.9259902117004324,0.6474249683538131
