,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country
62,1040.6833333333332,76.25,540.2833333333333,29.1,Kuwait
63,3410.0,46.5,122.5,47.5,Lebanon
64,11038.5,18.0,4456.0,608.5,Malaysia
65,171.76666666666668,18.916666666666664,12.8,12.0,Maldives
66,4162.0,18.0,484.0,52.0,Mongolia
67,1033.9166666666667,17.0,124.25,8.333333333333332,Occupied Palestinian Territory
68,600.1666666666667,31.5,497.5,37.0,Oman
69,61911.0,787.0,8666.0,1742.0,Philippines
70,354.44999999999993,0.0,239.6,4.0,Qatar
71,79880.54999999999,5211.633333333333,5638.4,1622.9166666666663,Republic of Korea
72,5878.700000000001,3.0,165.9,96.25,Singapore
73,13694.5,206.0,2447.5,188.0,Sri Lanka
74,148232.88333333333,2408.5,31161.5,5425.8,Thailand
75,80323.41666666666,600.1666666666666,6828.583333333333,1243.0,Turkey
76,10735.016666666668,35.16666666666667,795.5,139.16666666666669,Armenia
77,0.0,0.0,0.0,0.0,Andorra
78,21605.3,2249.65,532.9166666666666,386.95,Austria
79,18897.0,1270.0,759.0,213.0,Belarus
80,29149.5,5081.083333333334,766.75,636.8333333333333,Belgium
81,7880.5,215.5,246.0,59.5,Bosnia and Herzegovina
82,18495.033333333336,135.85000000000002,785.7833333333333,99.15,Bulgaria
83,14396.366666666663,1225.9333333333334,495.1,157.56666666666666,Croatia
84,28131.61666666667,1503.1333333333334,924.55,275.0666666666667,Czechia
85,16272.9,3531.2833333333333,278.2333333333333,471.6833333333333,Denmark
86,7263.333333333335,246.3333333333333,191.3333333333333,160.33333333333331,Estonia
87,12716.133333333331,2411.9,328.01666666666665,227.2,Finland
88,166599.33333333334,23786.25,3065.666666666667,4163.583333333333,France
89,7017.649999999999,150.83333333333334,734.9166666666667,143.55,Georgia
90,238155.65,45697.38333333333,3855.2333333333336,4246.933333333333,Germany
91,30684.333333333336,1297.3333333333337,1161.4166666666663,305.1666666666667,Greece
92,33793.33333333333,3581.2499999999995,939.0,514.4666666666667,Hungary
93,1171.2666666666669,115.3,42.78333333333333,36.41666666666666,Iceland
94,9329.833333333332,1380.8333333333337,198.0,247.5,Ireland
95,182655.98333333337,20525.35,3929.8166666666666,3434.5333333333338,Italy
96,16682.5,1553.5833333333333,2794.583333333333,1357.3333333333333,Kazakhstan
97,3942.500000000001,53.58333333333333,954.75,110.83333333333334,Kyrgyzstan
98,6333.016666666666,472.3833333333334,242.05,157.96666666666667,Latvia
99,8518.3,205.01666666666665,370.4666666666667,167.58333333333334,Lithuania
100,1246.55,229.95,50.18333333333333,40.08333333333333,Luxembourg
101,3666.0,21.0,145.0,7.0,North Macedonia
102,1065.0,158.20000000000002,36.81666666666666,42.0,Malta
103,46531.316666666666,11770.4,726.6666666666667,1203.0833333333333,Netherlands
104,11372.583333333332,2538.333333333333,268.33333333333337,333.9166666666667,Norway
105,104966.3,2715.6666666666665,3903.7333333333327,630.9499999999999,Poland
106,28196.7,3505.8833333333337,923.65,516.2,Portugal
107,6364.083333333334,133.86666666666667,469.1333333333333,82.45000000000002,Republic of Moldova
108,51533.43333333334,260.6666666666667,2484.8,96.6,Romania
109,0.0,0.0,0.0,0.0,Russian Federation
110,41247.05,2347.633333333333,1032.6833333333334,334.5,Serbia
111,13687.0,841.5,555.5,100.5,Slovakia
112,0.0,0.0,0.0,0.0,San Marino
113,6336.349999999999,299.9666666666667,160.86666666666667,84.4,Slovenia
114,113842.66666666669,20004.68333333333,2269.75,4187.333333333334,Spain
115,24006.15,6385.95,404.7166666666667,531.8499999999999,Sweden
116,18045.2,5306.850000000001,382.9333333333333,730.6833333333334,Switzerland
117,2908.0,70.0,378.0,46.0,Tajikistan
118,0.0,0.0,0.0,0.0,Turkmenistan
119,0.0,0.0,0.0,0.0,Ukraine
120,170927.75,49328.66666666667,1998.5833333333333,4546.166666666667,United Kingdom
121,150082.58333333334,44003.24999999999,1701.1666666666663,4073.9166666666665,"United Kingdom, England and Wales"
122,4755.75,1243.1666666666667,116.0,134.16666666666666,"United Kingdom, Northern Ireland"
123,17184.3,4286.1,276.2833333333333,450.6833333333333,"United Kingdom, Scotland"
124,13160.75,36.75,2744.4166666666665,201.91666666666669,Uzbekistan
125,46826.16666666667,9570.649999999998,1597.7999999999995,1403.2333333333331,Australia
126,9789.999999999998,1671.75,444.83333333333326,280.16666666666663,New Zealand
127,81.0,2.0,2.5,7.5,Solomon Islands
