,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country
61,0.0044703755053754,2.1042710740702247e-05,0.0169214069585839,0.0028329206362529,Jordan
62,0.0014261941392353,0.0005348355646595,0.0135442283796645,0.0018319553447769,Kuwait
63,0.0046732006356009,0.0003261620164808,0.0030709220035948,0.0029903051160448,Lebanon
64,0.0151276027026631,0.0001262562644442,0.1117063546777036,0.0383073823813321,Malaysia
65,0.0002353959225342,0.0001326859816149,0.0003208800134368,0.0007554455030007,Maldives
66,0.0057037715675575,0.0001262562644442,0.0121332755080809,0.0032735971796701,Mongolia
67,0.0014169208281012,0.0001192420275306,0.0031147923179319,0.0005246149326394,Occupied Palestinian Territory
68,0.0008224924481328,0.0002209484627773,0.0124717036472525,0.0023292903009191,Oman
69,0.0848453151175048,0.0055202044509775,0.2172457965971677,0.109665505518949,Philippines
70,0.0004857524824893,0.0,0.006006472751521,0.0002518151676669,Qatar
71,0.1094715064610424,0.036555630906645,0.1413476459189326,0.1021687581315314,Republic of Korea
72,0.0080564060341663,2.1042710740702247e-05,0.0041589057991541,0.0060593024719855,Singapore
73,0.0187674915261693,0.0014449328041948,0.0613557681942727,0.0118353128803458,Sri Lanka
74,0.20314428287692,0.0168937896063271,0.7811798858369077,0.3415746841818105,Thailand
75,0.1100784286863073,0.004209711187626,0.1711840556058323,0.0782515633524992,Turkey
76,0.0147116969823617,0.0002466673314604,0.0199421914600792,0.0087610693750786,Armenia
77,0.0,0.0,0.0,0.0,Andorra
78,0.0296087688247359,0.0157795780726069,0.0133595552469313,0.0243599697821798,Austria
79,0.0258972059856162,0.0089080808802306,0.0190271820467632,0.0134091576782641,Belarus
80,0.0399476427939737,0.0356399222775788,0.0192214648673988,0.0400910731523061,Belgium
81,0.0107997529644731,0.0015115680548737,0.0061669127582394,0.0037457506190456,Bosnia and Herzegovina
82,0.0253463347591772,0.0009528840847081,0.0196986067623791,0.006241868468544,Bulgaria
83,0.0197293577293288,0.0085989868402394,0.0124115386447331,0.0099194191463465,Croatia
84,0.0385526946883136,0.0105433333126803,0.02317731378305,0.0173164896965627,Czechia
85,0.022301034200314,0.024769257908932,0.0069749621670765,0.0296942544172577,Denmark
86,0.0099539630351657,0.0017278403597087,0.0047964877008529,0.0100935913039828,Estonia
87,0.0174266986439061,0.0169176380118332,0.0082229681568367,0.0143031015234817,Finland
88,0.22831440188388,0.1668423927853429,0.0768524344681957,0.2621133587946446,France
89,0.0096172687508578,0.001057980734463,0.0184234429589816,0.009037016829647,Georgia
90,0.3263780454404579,0.320532273030107,0.0966458846720464,0.2673605573509044,Germany
91,0.0420510398933505,0.0090998033558681,0.0291152652817017,0.0192113988332563,Greece
92,0.046311738068155,0.0251197359467133,0.0235395572357189,0.0323876274814286,Hungary
93,0.0016051507715908,0.0008087415161343,0.0010725247324119,0.0022925672556343,Iceland
94,0.0127859774379426,0.009685492138151,0.0049636127078512,0.0155810634993914,Ireland
95,0.2503190784192531,0.1439696676338909,0.0985155956878405,0.2162168967977504,Italy
96,0.0228623664526138,0.0108972015649697,0.0700567138711248,0.0854492802283124,Kazakhstan
97,0.005402959972392,0.0003758461946186,0.0239343900647525,0.0069773786041045,Kyrgyzstan
98,0.0086790197982223,0.0033134086140206,0.0060678911915929,0.0099446006631132,Latvia
99,0.0116738196405395,0.0014380354712298,0.0092871366388988,0.0105500062953791,Lithuania
100,0.0017083220681256,0.0016129237782748,0.0012580334901801,0.0025233978259957,Luxembourg
101,0.0050240332932883,0.0001472989751849,0.0036349689022143,0.0004406765434171,North Macedonia
102,0.0014595186735821,0.0011096522797263,0.0009229478511484,0.0026440592605027,Malta
103,0.0637683808275708,0.0825603741674539,0.0182166257628212,0.0757386578251563,Netherlands
104,0.0155854438890786,0.0178044713656052,0.0067267815316839,0.0210213203508624,Norway
105,0.1438500234242468,0.0190483293782779,0.0978617190979594,0.0397206950098627,Poland
106,0.0386418874961436,0.0245910962913274,0.0231547519071052,0.0324967473874176,Portugal
107,0.0087215948030354,0.0009389725148295,0.0117605867424745,0.0051905401435346,Republic of Moldova
108,0.0706234819378397,0.0018283777554699,0.0622908326084286,0.0060813362991564,Romania
109,0.0,0.0,0.0,0.0,Russian Federation
110,0.0565266100518078,0.0164668563861879,0.0258880813965634,0.0210580433961472,Serbia
111,0.0187572132256511,0.0059024803627669,0.0139256912081383,0.0063268560876316,Slovakia
112,0.0,0.0,0.0,0.0,San Marino
113,0.0086835879317859,0.0021040372661731,0.0040327264188704,0.0053133000377722,Slovenia
114,0.1560145519721923,0.1403175882808935,0.056899797695179,0.2636085113526671,Spain
115,0.0328989898646135,0.0447925662181958,0.0101457413623529,0.0334819742309145,Sweden
116,0.0247298651347643,0.0372235031647652,0.0095996604019857,0.0459992865236916,Switzerland
117,0.0039852397209171,0.0004909965839497,0.0094759878968069,0.0028958744281697,Tajikistan
118,0.0,0.0,0.0,0.0,Turkmenistan
119,0.0,0.0,0.0,0.0,Ukraine
120,0.2342462375196021,0.3460029546303959,0.0501019880355207,0.2861984303521215,United Kingdom
121,0.205679185872718,0.3086492204669353,0.0426461236608064,0.2564685021194443,"United Kingdom, England and Wales"
122,0.0065174703585804,0.0087198655230498,0.0029079751217714,0.008446300415495,"United Kingdom, Northern Ireland"
123,0.0235500532792837,0.0300637208352413,0.0069260781025295,0.0283722247870063,"United Kingdom, Scotland"
124,0.0180360191392919,0.0002577732065736,0.0687990981934622,0.0127114198178536,Uzbekistan
125,0.0641724550819423,0.0671308065168339,0.0400548504272968,0.0883388592772904,Australia
126,0.0134166082764027,0.0117260505602563,0.0111514160919655,0.017637554035338,New Zealand
127,0.0001110056455963,1.4028473827134831e-05,6.267187762438488e-05,0.0004721534393754,Solomon Islands
