,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa and ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",External causes of morbidity and mortality,infectious and parasitic diseases,Neoplasms,Country
24,2701.5333333333333,5054.9,1756.6666666666665,51.300000000000004,37310.05,11062.75,4046.95,258.46666666666664,762.8666666666667,1199.25,95.16666666666667,312.75,482.0166666666667,763.65,1137.65,100122.66666666666,25265.216666666664,Cuba
25,51.0,7.0,22.833333333333336,1.0,274.5,56.33333333333333,35.666666666666664,11.0,7.0,13.0,0.0,46.16666666666667,16.0,28.833333333333332,20.5,668.0000000000001,186.33333333333334,Dominica
26,1801.0,55.0,480.0,3.0,11898.0,2670.0,1186.0,66.0,85.0,500.0,215.0,3121.0,525.0,1391.0,2339.0,39386.0,5103.0,Dominican Republic
27,5691.099999999999,213.96666666666667,1492.2166666666667,5.333333333333333,15870.966666666665,6574.700000000001,4282.033333333333,197.0,480.1166666666667,2092.9500000000003,302.8833333333333,1591.75,1119.1999999999998,5478.650000000001,3300.333333333333,67694.68333333333,11618.4,Ecuador
28,2154.666666666667,550.1666666666667,770.0,7.0,6945.5,3067.0,1908.3333333333333,127.33333333333334,125.83333333333334,3145.166666666667,87.66666666666667,450.66666666666674,300.1666666666667,7379.833333333332,978.6666666666666,39449.833333333336,4144.333333333333,El Salvador
29,70.41666666666667,22.25,41.083333333333336,0.0,210.08333333333334,56.41666666666666,57.66666666666667,6.0,15.0,26.416666666666664,6.0,60.416666666666664,33.0,145.58333333333334,31.5,883.8333333333333,247.5,French Guiana
30,134.31666666666666,18.7,36.25,0.0,369.95,88.63333333333333,90.28333333333333,20.733333333333334,11.166666666666668,39.166666666666664,3.0,41.016666666666666,21.333333333333332,18.233333333333334,9.5,954.8333333333333,262.1166666666667,Grenada
31,243.16666666666669,102.66666666666667,199.58333333333331,4.5,788.8333333333335,170.58333333333331,194.91666666666669,29.0,49.33333333333333,71.83333333333334,2.0,43.5,32.33333333333333,458.5,53.5,3246.8333333333335,843.2499999999999,Guadeloupe
32,7827.35,580.0000000000001,1626.0166666666667,19.333333333333336,12615.416666666668,9492.816666666668,6123.683333333333,177.86666666666667,382.7833333333333,3370.233333333333,358.9,3163.133333333333,1499.4999999999998,7080.8,1320.7666666666667,82470.86666666665,8917.85,Guatemala
33,578.0,5.5,87.5,0.0,1974.5,345.5,343.5,4.0,8.0,118.0,20.0,155.5,63.5,46.5,148.5,5941.5,623.5,Guyana
