Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,code,"Population,Total Population - Both sexes",WHO code,FAO code,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
Luxembourg,0.4988290398126464,0.0,0.0004121708783446,0.592792358298184,0.7057944253934758,0.8863839830715391,0.5063168677441383,0.5359286621262843,0.1170212765957446,0.9300699300699302,0.9278169014084507,0.9238938053097346,0.927175843694494,0.6708074534161489,0.673076923076923,0.7854671280276816,0.8400900900900902,0.7576840600428878,0.0003650522062262,0.7576840600428878,0.7285714285714285,0.5506687419643691,0.5439608405210464,0.5375855118217159,0.5798425026940506
Madagascar,0.0374707259953161,0.7338003502626971,0.0197079006311634,0.8729587544563779,0.1596764266244614,0.2756571986652559,0.6315160482585932,0.6441763823155952,0.8670212765957446,0.2534965034965035,0.2464788732394366,0.24070796460177002,0.2380106571936057,0.6521739130434782,0.7538461538461538,0.8373702422145328,0.8963963963963965,0.0595663569216106,0.0171899065044219,0.0595663569216106,0.3657142857142857,0.9238322569916333,0.7296427693124744,0.6168495451850945,0.9213244348851921
Malawi,0.0421545667447306,0.2626970227670753,0.0136030651821859,0.8467808739521859,0.1821858788358392,0.344510458207862,0.5899726838151604,0.6137019508253493,0.9202127659574468,0.1643356643356643,0.1531690140845069,0.1539823008849556,0.1580817051509768,0.5993788819875775,0.7576923076923077,0.7889273356401384,0.8896396396396397,0.0619490111984751,0.0118680567902933,0.0619490111984751,0.3685714285714286,0.8885863830658544,0.6906273977131,0.6016890578222726,0.9140981176902164
Malaysia,0.2903981264637002,0.0,0.0233375715148563,0.9431663015379894,0.329376593686802,0.490925368275413,0.8272251308900522,0.8070241255915966,0.32446808510638303,0.7377622377622379,0.7376760563380282,0.7327433628318586,0.7388987566607462,0.6645962732919253,0.8269230769230769,0.8442906574394463,0.8851351351351352,0.5303788420300214,0.021194365979902697,0.5303788420300214,0.3714285714285713,0.9409679417772189,0.8378625729709926,0.7607313223139706,0.94727790068164
Maldives,0.117096018735363,0.1366024518388791,0.0003472789234495,0.974423437666482,0.3252211377824672,0.4791242776918694,0.6973927270657865,0.7297991457924508,0.5,0.6118881118881119,0.607394366197183,0.6070796460176994,0.6145648312611013,0.7236024844720496,0.8653846153846154,0.9169550173010379,0.9166666666666669,0.5349058851560639,0.00029329180056296666,0.5349058851560639,0.3742857142857143,0.9772810416868296,0.8642296807674811,0.7854352188444467,0.9749000720709784
Mali,0.0983606557377049,0.0665499124343257,0.0144024484946849,1.0,0.4844807878308274,0.5665337348417026,0.4998861825631686,0.4840701835391898,0.9734042553191488,0.0769230769230769,0.0721830985915494,0.0707964601769911,0.0710479573712256,0.7111801242236023,0.7961538461538461,0.8581314878892733,0.9031531531531533,0.0643316654753395,0.0123973664529275,0.0643316654753395,0.3771428571428572,0.9176077531212045,0.9782125193243164,0.8791264843541127,0.9615903440463415
Malta,0.65807962529274,0.0,0.0003337300537462,0.7844722602413475,0.581904510683197,0.7753723447546186,0.5292795356248576,0.560371695717419,0.1436170212765957,0.8863636363636365,0.8838028169014085,0.8902654867256637,0.8898756660746004,0.6490683229813663,0.9115384615384616,0.8581314878892733,0.8986486486486487,0.7600667143197523,0.0002658352523245,0.7600667143197523,0.3800000000000001,0.7158401033479448,0.6806304105439748,0.7420154701744365,0.7946007877771223
Mauritania,0.1967213114754098,0.13835376532399302,0.0032774002714052,0.9838441239321579,0.5046161962542864,0.6038902905509889,0.4741065331208741,0.4701604524991344,0.8297872340425532,0.2867132867132869,0.2711267605633802,0.2672566371681416,0.2699822380106572,0.5683229813664595,0.7384615384615385,0.7508650519031141,0.9211711711711712,0.0667143197522039,0.0028450220681100337,0.0667143197522039,0.3857142857142857,0.8832238944428342,0.9460988363650648,0.914258089770262,0.9456117157568658
Mauritius,0.2014051522248244,0.0700525394045534,0.0008635621689886,0.8878578098501406,0.1739206893519739,0.3170017091234638,0.6684782608695652,0.6825580053099389,0.3457446808510638,0.7272727272727275,0.7235915492957747,0.7256637168141592,0.7282415630550624,0.6459627329192545,0.75,0.8096885813148789,0.8558558558558559,0.0690969740290683,0.0008373690575499668,0.0690969740290683,0.3885714285714285,0.9436969023490963,0.7609325199115372,0.6352480631715625,0.9112908212852107
Mexico,0.5971896955503513,0.0192644483362521,0.0910897641141784,0.8148933814053406,0.552272927108063,0.6024253275819972,0.2411222399271568,0.1778540921158952,0.3882978723404256,0.6818181818181819,0.6778169014084505,0.6814159292035397,0.6838365896980464,0.6086956521739129,0.6846153846153846,0.7543252595155708,0.7815315315315315,0.3097450559923756,0.08528358986196884,0.3097450559923756,0.3914285714285714,0.7753251887428769,0.7551824921537776,0.705854046299307,0.7964011793410908
Mongolia,0.3911007025761124,0.19089316987740804,0.0023582164267922,0.3850373379064821,0.7230282247428119,0.8224953202571823,0.8290177555201457,0.7726538150756089,0.5212765957446808,0.6136363636363638,0.602112676056338,0.6088495575221239,0.6092362344582595,0.5652173913043477,0.8076923076923077,0.9273356401384084,0.9031531531531533,0.536097212294496,0.0020786203713566327,0.536097212294496,0.4000000000000001,0.23527381262826372,0.48669077805627525,0.49104048107861514,0.28779773159454014
Montenegro,0.5152224824355971,0.0,0.0004050398942902,0.6290022371956056,0.6475863888156159,0.8246113778790591,0.5457546096061916,0.5726365000577168,0.25,0.7692307692307692,0.767605633802817,0.7699115044247787,0.7726465364120784,0.6180124223602483,0.7846153846153846,0.8546712802768165,0.8693693693693694,0.7617345723135572,0.00039825995909646667,0.7617345723135572,0.7771428571428571,0.5548473919885643,0.5922162554512999,0.6238825235698781,0.5948064156587418
Morocco,0.531615925058548,0.0157618213660245,0.0255988065585086,0.7990405479009548,0.5805855974676866,0.6583380808985106,0.4848907352606419,0.4703624610412098,0.6382978723404255,0.5052447552447554,0.505281690140845,0.5115044247787611,0.5186500888099467,0.5590062111801241,0.7653846153846153,0.7820069204152249,0.8378378378378379,0.0714796283059328,0.02426403740373247,0.0714796283059328,0.4057142857142857,0.7318329670059294,0.7259413540718939,0.7575230290012763,0.77593647966107
Mozambique,0.072599531615925,0.4448336252189142,0.0221859175900696,0.888344128687347,0.1726017761364635,0.2654024578823146,0.6040575916230366,0.6066316518527071,0.9574468085106382,0.1101398601398602,0.1056338028169013,0.1079646017699115,0.1101243339253996,0.6459627329192545,0.7461538461538462,0.7958477508650519,0.8400900900900902,0.0738622825827972,0.0192241325899484,0.0738622825827972,0.4085714285714286,0.9321860516805897,0.7313189273798318,0.6427798044097027,0.9447306516549151
Myanmar,0.0655737704918032,0.1418563922942206,0.0389708278573318,0.8896082030398071,0.5156071397168733,0.5636851957353299,0.7756942863646709,0.7854380699526724,0.7765957446808509,0.3234265734265734,0.3274647887323945,0.3327433628318585,0.3357015985790409,0.7267080745341614,0.8269230769230769,0.8996539792387542,0.9346846846846848,0.5384798665713605,0.03665724853836366,0.5384798665713605,0.0771428571428571,0.8595106423889,0.8287168166954765,0.7359524008555293,0.8754280786759123
Namibia,0.2833723653395784,0.4343257443082312,0.0017734757343309,0.8250022687894046,0.1156247252264134,0.2483112232440791,0.5596972456180287,0.5532725383816229,0.6861702127659574,0.4562937062937065,0.4542253521126761,0.4495575221238937,0.4476021314387209,0.5186335403726707,0.5923076923076923,0.7024221453287197,0.7657657657657658,0.0750536097212294,0.0015959574987895336,0.0750536097212294,0.4171428571428572,0.9034045568354455,0.6449795380055613,0.544901683156986,0.9030356488892961
Nepal,0.0210772833723653,0.1085814360770577,0.0213515924557041,0.6882991236428166,0.5321375186846039,0.6983804020509481,0.7387036193944911,0.7504040170841509,0.75,0.3636363636363635,0.3556338028169013,0.3628318584070797,0.369449378330373,0.5465838509316769,0.9192307692307692,0.9100346020761244,0.9481981981981984,0.540862520848225,0.0188540138646985,0.540862520848225,0.4228571428571429,0.6428401279884456,0.6591555731014407,0.5923427196695551,0.6682910083172923
Netherlands,0.4730679156908666,0.0,0.0124171825339381,0.5999938101944486,0.7356018640640113,0.5818344591845039,0.5083086728886865,0.3172688445111394,0.0372340425531914,0.9755244755244756,0.9735915492957744,0.9752212389380532,0.9769094138543518,0.5962732919254657,0.7153846153846154,0.7612456747404843,0.8265765765765767,0.7624493685966166,0.011712291466719135,0.7624493685966166,0.4257142857142857,0.5651384506931945,0.5373179844270254,0.5307923240844118,0.5997893591315446
