Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
Belize,22.4,7.5,419000.0,26.04962121212121,18.49,15.88,-87.78,-89.24,110.0,0.7170000000000001,0.7140000000000001,0.7140000000000001,0.716,0.1,1.9,2.1,-2.0,24.313151515151517,27.782545454545453,27.452727272727273,24.650060606060606
Benin,8.2,10.1,12209000.0,28.18176515151515,12.4,6.21,3.84,0.76,158.0,0.5329999999999999,0.536,0.541,0.545,3.3,5.7,6.7,6.9,29.467848484848485,29.443151515151513,26.182121212121206,27.63393939393939
Bolivia,18.7,17.1,11633000.0,21.59209090909091,-9.68,-22.9,-57.47,-69.67,107.0,0.7020000000000001,0.71,0.7140000000000001,0.718,4.3,4.2,4.2,2.2,22.785666666666668,20.063000000000006,20.283757575757573,23.235939393939393
Bosnia and Herzegovina,19.4,<2.5,3281000.0,11.669060606060604,45.28,42.56,19.62,15.72,73.0,0.772,0.774,0.777,0.78,3.1,3.2,3.7,2.7,3.7990606060606056,15.208787878787879,20.120878787878787,7.54751515151515
Botswana,16.1,26.4,2317000.0,22.66062121212121,-17.78,-26.89,29.35,19.98,100.0,0.72,0.726,0.73,0.735,4.3,2.9,4.5,3.0,25.929151515151514,18.95881818181818,19.174484848484852,26.58003030303031
Brazil,22.3,<2.5,211812000.0,26.02590151515152,5.27,-33.74,-28.88,-74.02,84.0,0.758,0.7609999999999999,0.762,0.765,-3.3,1.3,1.3,1.1,26.406363636363636,25.298030303030306,25.62736363636364,26.771848484848487
Bulgaria,27.4,3.6,6927000.0,12.181507575757575,44.23,41.24,28.6,22.35,56.0,0.8109999999999999,0.8109999999999999,0.813,0.816,3.8,3.5,3.1,3.4,3.410848484848484,16.023636363636367,21.568606060606058,7.722939393939394
Burkina Faso,4.5,20,20903000.0,29.17354545454545,15.08,9.39,2.39,-5.52,182.0,0.428,0.439,0.44299999999999995,0.452,6.0,6.2,6.8,5.7,28.762333333333334,32.059060606060605,27.776939393939397,28.095848484848485
Cabo Verde,10.6,12.6,556000.0,25.361954545454548,16.92,14.8,-22.67,-25.36,126.0,0.657,0.66,0.6629999999999999,0.665,4.7,3.7,4.5,5.7,23.218363636363637,24.624,27.458333333333332,26.14712121212121
Cambodia,3.5,16.4,15497000.0,27.86036363636364,14.7,10.42,107.61,102.31,144.0,0.5760000000000001,0.5820000000000001,0.585,0.594,6.9,7.0,7.5,7.0,27.35275757575758,29.463909090909095,27.905121212121212,26.719666666666665
Cameroon,9.5,9.9,26598000.0,25.41559848484849,13.08,1.65,16.21,8.51,153.0,0.5529999999999999,0.557,0.56,0.563,4.6,3.5,4.1,3.9,26.27721212121212,26.20924242424242,24.225727272727273,24.950212121212118
Canada,31.3,<2.5,38190000.0,-3.468219696969697,80.71,41.67,-52.62,-141.01,16.0,0.9229999999999999,0.9259999999999999,0.9279999999999999,0.929,1.0,3.2,2.0,1.7,-17.85660606060606,2.5517878787878776,11.114848484848485,-9.68290909090909
